"ts_number","address","city","county","date","price","details","status","page_number","raw_data","row_index","table_index"
"131521-CA","1734 Las Colinas Road","Beaumont","","12/17/2025","","131521-CA 1734 Las Colinas Road, Beaumont CA, 92223 12/17/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882  From 09/17/2025 to 12/17/2025","","1","131521-CA 1734 Las Colinas Road, Beaumont CA, 92223 12/17/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882  From 09/17/2025 to 12/17/2025","1","1"
"130460-CA","72950 Shadow Mountain Drive","Corona","","12/10/2025","","130460-CA 72950 Shadow Mountain Drive, Palm Desert CA, 92260 12/10/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882  From 09/10/2025 to 12/10/2025","","1","130460-CA 72950 Shadow Mountain Drive, Palm Desert CA, 92260 12/10/2025 09:00 AM AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882  From 09/10/2025 to 12/10/2025","2","1"
"125686-CA","9 St Francis Cir","Napa","","09/12/2025","","125686-CA 9 St Francis Cir, Napa CA, 94558 09/12/2025 01:30 PM AT THE FOUNTAIN TO THE RIGHT OF THE NAPA COUNTY SUPERIOR COURT LOCATED AT 1111 THIRD STREET, NAPA, CA 94559  From 07/11/2025 to 09/12/2025","","1","125686-CA 9 St Francis Cir, Napa CA, 94558 09/12/2025 01:30 PM AT THE FOUNTAIN TO THE RIGHT OF THE NAPA COUNTY SUPERIOR COURT LOCATED AT 1111 THIRD STREET, NAPA, CA 94559  From 07/11/2025 to 09/12/2025","3","1"
"136062-CA","13784 ROCKY TOP END RD","Sonora","","09/11/2025","","136062-CA 13784 ROCKY TOP END RD, SONORA CA, 95370 09/11/2025 03:30 PM AT THE FRONT ENTRANCE TO THE ADMINISTRATION BUILDING, AT THE COUNTY COURTHOUSE COMPLEX, 2 S. GREEN STREET, SONORA, CA 95370","","1","136062-CA 13784 ROCKY TOP END RD, SONORA CA, 95370 09/11/2025 03:30 PM AT THE FRONT ENTRANCE TO THE ADMINISTRATION BUILDING, AT THE COUNTY COURTHOUSE COMPLEX, 2 S. GREEN STREET, SONORA, CA 95370","4","1"
"099739-CA","548 Canyon Oak Drive","Vacaville","","09/15/2025","","099739-CA 548 Canyon Oak Drive, Vacaville CA, 95688 09/15/2025 09:30 AM OUTSIDE OF SANTA CLARA STREET ENTRANCE TO THE CITY HALL 555 SANTA CLARA STREET, VALLEJO, CA 94590","","1","099739-CA 548 Canyon Oak Drive, Vacaville CA, 95688 09/15/2025 09:30 AM OUTSIDE OF SANTA CLARA STREET ENTRANCE TO THE CITY HALL 555 SANTA CLARA STREET, VALLEJO, CA 94590","5","1"
"131904-CA","1445 Prefumo Canyon Rd","San Luis Obispo","","09/12/2025","","131904-CA 1445 Prefumo Canyon Rd 20, San Luis Obispo CA, 93405 09/12/2025 09:00 AM IN THE BREEZWAY FACING SANTA ROSA STREET, COUNTY OF SAN LUIS OBISPO GENERAL SERVICES BUILDING, 1087 SANTA ROSA ST, SAN LUIS OBISPO, CA 93408","","1","131904-CA 1445 Prefumo Canyon Rd 20, San Luis Obispo CA, 93405 09/12/2025 09:00 AM IN THE BREEZWAY FACING SANTA ROSA STREET, COUNTY OF SAN LUIS OBISPO GENERAL SERVICES BUILDING, 1087 SANTA ROSA ST, SAN LUIS OBISPO, CA 93408","6","1"
"137940-CA","2916 BELMAR ST","Sacramento","","09/11/2025","","137940-CA 2916 BELMAR ST, SACRAMENTO CA, 95826 09/11/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814","","1","137940-CA 2916 BELMAR ST, SACRAMENTO CA, 95826 09/11/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814","7","1"
"135945-CA","2209 LORINA AVENUE","Hanford","","09/11/2025","","135945-CA 2209 LORINA AVENUE, CORCORAN CA, 93212 09/11/2025 12:30 PM AT THE FRONT ENTRANCE OF THE ADMINISTRATION BUILDING OFTHE KINGS GOVERNMENT CENTER, 1400 W. LACEY BLVD., HANFORD, CA 93230","","1","135945-CA 2209 LORINA AVENUE, CORCORAN CA, 93212 09/11/2025 12:30 PM AT THE FRONT ENTRANCE OF THE ADMINISTRATION BUILDING OFTHE KINGS GOVERNMENT CENTER, 1400 W. LACEY BLVD., HANFORD, CA 93230","8","1"
"130099-CA","11581  Arroyo Ave","Santa Ana","","09/11/2025","","130099-CA 11581  Arroyo Ave, Santa Ana CA, 92705 09/11/2025 09:00 AM ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866  From 06/26/2025 to 09/11/2025","","1","130099-CA 11581  Arroyo Ave, Santa Ana CA, 92705 09/11/2025 09:00 AM ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866  From 06/26/2025 to 09/11/2025","9","1"
"131217-CA","2821 SEDGE CT","Elk Grove","","09/11/2025","","131217-CA 2821 SEDGE CT, ELK GROVE CA, 95757 09/11/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814  From 08/07/2025 to 09/11/2025","","1","131217-CA 2821 SEDGE CT, ELK GROVE CA, 95757 09/11/2025 01:30 PM OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814  From 08/07/2025 to 09/11/2025","10","1"
